year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,salary_range,salary_skew,employment_quality_ratio
2021,National University Of Singapore,Yong Loo Lin School (Medicine),Bachelor Of Science (Nursing),96.2,93.3,3300.0,3350.0,3530.0,3550.0,3350.0,3750.0,400.0,-20.0,0.9698544698544698
2021,National University Of Singapore,Yong Loo Lin School (Medicine),Bachelor Of Science (Nursing) (Hons),97.9,96.8,3482.0,3500.0,3750.0,3750.0,3550.0,3950.0,400.0,0.0,0.9887640449438201
2021,National University Of Singapore,Yst Conservatory Of Music,Bachelor Of Music ^,82.4,35.3,3136.0,2958.0,3203.0,3100.0,2915.0,3600.0,685.0,103.0,0.4283980582524271
2021,National University Of Singapore,Yale-Nus College,Bachelor Of Arts With Honours,88.3,70.8,4344.0,4000.0,4453.0,4000.0,3500.0,5000.0,1500.0,453.0,0.8018120045300113
2021,National University Of Singapore,Yale-Nus College,Bachelor Of Science With Honours,94.6,83.8,4779.0,4500.0,4952.0,4500.0,3800.0,5650.0,1850.0,452.0,0.8858350951374208
2021,National University Of Singapore,Multi-Disciplinary Programmes,Bachelor Of Engineering (Computer Engineering),97.4,91.2,5345.0,5000.0,5473.0,5400.0,4500.0,6200.0,1700.0,73.0,0.9363449691991786
2021,National University Of Singapore,Multi-Disciplinary Programmes,Bachelor Of Environmental Studies,97.4,81.6,3544.0,3500.0,3658.0,3650.0,3100.0,3996.0,896.0,8.0,0.8377823408624229
2021,Singapore Institute Of Technology,Digipen Institute Of Technology,Bachelor Of Arts In Game Design ^,100.0,81.5,3457.0,3200.0,3490.0,3300.0,3200.0,3500.0,300.0,190.0,0.815
2021,Singapore Institute Of Technology,Digipen Institute Of Technology,Bachelor Of Fine Arts In Digital Art And Animation,80.0,63.3,3081.0,3200.0,3125.0,3200.0,2835.0,3500.0,665.0,-75.0,0.79125
2021,Singapore Institute Of Technology,Digipen Institute Of Technology,Bachelor Of Science In Computer Science And Game Design,88.2,85.3,4229.0,4000.0,4324.0,4000.0,3700.0,4968.0,1268.0,324.0,0.9671201814058956
2021,Singapore Institute Of Technology,Digipen Institute Of Technology,Bachelor Of Science In Computer Science In Real-Time Interactive Simulation,95.1,92.7,4962.0,4600.0,4984.0,4600.0,4300.0,5175.0,875.0,384.0,0.9747634069400631
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Accountancy With Honours,97.7,86.8,3363.0,3400.0,3431.0,3400.0,3200.0,3460.0,260.0,31.0,0.8884339815762538
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Information & Communications Technology (Information Security),100.0,98.2,4934.0,4800.0,5251.0,4950.0,4605.0,5552.0,947.0,301.0,0.982
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Information & Communications Technology (Software Engineering),100.0,98.0,5126.0,5000.0,5215.0,5000.0,4590.0,5500.0,910.0,215.0,0.98
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Aircraft Systems Engineering,100.0,91.7,3297.0,3200.0,3394.0,3300.0,2500.0,4000.0,1500.0,94.0,0.917
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Pharmaceutical Engineering,98.3,87.9,3423.0,3500.0,3736.0,3600.0,3300.0,4000.0,700.0,136.0,0.8942014242115972
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Sustainable Infrastructure Engineering (Building Services),98.0,96.1,3707.0,3600.0,3773.0,3680.0,3500.0,3950.0,450.0,93.0,0.9806122448979592
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Sustainable Infrastructure Engineering (Land) ^,96.3,88.9,3606.0,3500.0,3788.0,3700.0,3485.0,4250.0,765.0,88.0,0.9231568016614746
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Engineering With Honours In Telematics (Intelligent Transportation Systems Engineering),97.5,85.0,4086.0,4000.0,4146.0,4000.0,3850.0,4500.0,650.0,146.0,0.8717948717948718
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Hospitality Business With Honours,96.1,80.3,3037.0,3000.0,3216.0,3000.0,2800.0,3500.0,700.0,216.0,0.8355879292403746
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Science (Diagnostic Radiography),100.0,100.0,3670.0,3500.0,3880.0,3700.0,3500.0,4025.0,525.0,180.0,1.0
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Science (Occupational Therapy),100.0,98.3,3521.0,3500.0,3546.0,3500.0,3400.0,3690.0,290.0,46.0,0.983
2021,Singapore Institute Of Technology,Singapore Institute Of Technology (Sit),Bachelor Of Science (Radiation Therapy) ^,100.0,100.0,3310.0,3500.0,3328.0,3500.0,3000.0,3500.0,500.0,-172.0,1.0
2021,Singapore Institute Of Technology,Sit- Digipen Institute Of Technology,Bachelor Of Engineering With Honours In Systems Engineering (Electromechanical Systems),100.0,95.1,4086.0,4000.0,4402.0,4370.0,3700.0,4900.0,1200.0,32.0,0.951
2021,Singapore Institute Of Technology,Sit- Massey University,Bachelor Of Food Technology With Honours,96.4,89.1,3221.0,3300.0,3322.0,3300.0,3000.0,3500.0,500.0,22.0,0.9242738589211618
2021,Singapore Institute Of Technology,Sit- Newcastle University,Bachelor Of Engineering With Honours In Chemical Engineering,79.2,64.2,3466.0,3500.0,3836.0,3700.0,3350.0,4200.0,850.0,136.0,0.8106060606060607
